id	name	ICD-10-CM	MeSH	OMIM	SNOMED CT	GTR
charcot-marie-tooth-disease	Charcot-Marie-Tooth disease	G60.0	D002607	609260,600361,607831,608340,607684,600882,601472,605589,601098,605253,606482,214370,605285,607791,607706,310490,614436,601382,605588,604563,145900,611228,601455,614228,607736,148360,118200,302800,118210,613287,607734,614455,606071,311070,606595,607677,118300,256855,608673,609311,180800,214400,608323,616505,601152,118230,607678,601596,118220	45853006,398100001	C0007959
charge-syndrome	CHARGE syndrome		D058747	214800	47535005	C0265354
char-syndrome	Char syndrome		D004374,D000015	169100	703534001	C1868570
chd2-myoclonic-encephalopathy	CHD2 myoclonic encephalopathy		D004831	615369	192845009	C3809278
chediak-higashi-syndrome	Chediak-Higashi syndrome	E70.330	D002609	214500	111396008	C0007965
cherubism	Cherubism		D002636	118400	76098004	C0008029
childhood-absence-epilepsy	Childhood absence epilepsy		D004832	612269,607681,600131,611942	50866000	C2677087,C2749872,CN240376,C1843244,C1970160,C1838604
childhood-myocerebrohepatopathy-spectrum	Childhood myocerebrohepatopathy spectrum		D028361		702366001	C0205710
chmp2b-related-frontotemporal-dementia	CHMP2B-related frontotemporal dementia		D057180	600795	702393003	C1833296
cholangiocarcinoma	Cholangiocarcinoma	C22.1	D018281	615619	70179006,312104005	C3810156
chops-syndrome	CHOPS syndrome		D000015	616368		C4085597
chordoma	Chordoma	C41.2	D002817	215400	50007008	C0008487
chorea-acanthocytosis	Chorea-acanthocytosis		D054546	200150	66881004,26848004	C0393576
choroideremia	Choroideremia	H31.21	D015794	303100	75241009,15989831000119105	C0008525
christianson-syndrome	Christianson syndrome		D038901	300243	702354007	C2678194
chronic-atrial-and-intestinal-dysrhythmia	Chronic atrial and intestinal dysrhythmia		D001145,D007418	616201	720507006	
chronic-granulomatous-disease	Chronic granulomatous disease	D71	D006105	233690,233710,613960,306400,233700	387759001	C3151409,C1856251,C1844376,C1856255,C1856245
chronic-myeloid-leukemia	Chronic myeloid leukemia	C92.10,C92.11,C92.1,C92.12	D015464	608232	92818009	C0023473
chst3-related-skeletal-dysplasia	CHST3-related skeletal dysplasia		D010009	143095	702400006	
chylomicron-retention-disease	Chylomicron retention disease	E78.3	D006995	246700	702364003	C0795956
citrullinemia	Citrullinemia	E72.23	D020159	215700,603471,605814	398680004	C1853942,C4721769,C1863844
clcn2-related-leukoencephalopathy	CLCN2-related leukoencephalopathy		D056784	615651		
cleidocranial-dysplasia	Cleidocranial dysplasia		D002973	119600	65976001	C0008928
cln10-disease	CLN10 disease	E75.4	D009472	610127	720831008,720830009	
cln11-disease	CLN11 disease	E75.4	D009472	614706	62009002	C3539123
cln1-disease	CLN1 disease	E75.4	D009472	256730	58258004	C0268281,C1850451
cln2-disease	CLN2 disease	E75.4	D009472	204500	14637005	C0027877,C0022340,C1876161
cln3-disease	CLN3 disease	E75.4	D009472	204200	61663001	C0751383
cln4-disease	CLN4 disease	E75.4	D009472	162350	62009002	C1834207
cln5-disease	CLN5 disease	E75.4	D009472	256731	14637005	C1850442
cln6-disease	CLN6 disease	E75.4	D009472	601780	14637005	C5561927,C5551375
cln7-disease	CLN7 disease	E75.4	D009472	610951	14637005	C1838571
cln8-disease	CLN8 disease	E75.4	D020191,D009472	600143,610003	703526007	C1864923,C1838570
clopidogrel-resistance	Clopidogrel resistance		D004305	609535	419253001	C1836023,C2674941
clouston-syndrome	Clouston syndrome		D004476	129500	54209007	C0162361
clpb-deficiency	CLPB deficiency		D001927	616271		C5676893
coats-plus-syndrome	Coats plus syndrome		D012164	612199	711482008	C4552029
cockayne-syndrome	Cockayne syndrome		D003057	133540,214150,216400	21086008	C0009207
coffin-lowry-syndrome	Coffin-Lowry syndrome		D038921	303600	15182000	C0265252
coffin-siris-syndrome	Coffin-Siris syndrome		D008607	135900	10007009	C0265338
cog5-congenital-disorder-of-glycosylation	COG5-congenital disorder of glycosylation		D018981	613612	721100009	C3150876
cohen-syndrome	Cohen syndrome		D002658,D000015	216550	56604005	C0265223
col4a1-related-brain-small-vessel-disease	COL4A1-related brain small-vessel disease		D002543	175780	443929000	
cold-induced-sweating-syndrome	Cold-induced sweating syndrome		D005334,D000015	272430,610313,617055	702363009	C1853198,C1832409,C4310742,C1848947
cole-disease	Cole disease	L85.2	D007645	615522	711154007	C3809781
collagen-vi-related-myopathy	Collagen VI-related dystrophy		D009136	158810,254090	193222002,240062007	CN230143,C0410179,C1834674,CN117976
coloboma	Coloboma	H47.313,H47.319,H47.31,H47.312,Q13.0,H47.311,Q12.2	D003103	120200,216820	93390002	C0009363,C4011974
color-vision-deficiency	Color vision deficiency	H53.52,H53.59,H53.55,H53.53,H53.54,H53.50,H53.51,H53.5	D003117	190900,303900,303700,303800	51445007,51886007,193683001,24704003,367469000,77479002	C0155017,C0339537
combined-malonic-and-methylmalonic-aciduria	Combined malonic and methylmalonic aciduria		D008661	614265	702365002	C3280314
combined-oxidative-phosphorylation-deficiency-1	Combined oxidative phosphorylation deficiency 1		D028361	609060		C1836797
combined-pituitary-hormone-deficiency	Combined pituitary hormone deficiency	E23.0	D007018	262600,613038,221750,262700	367460001,190470005,32390006,71003000,237683004,91187007,237682009	C4273747
common-variable-immune-deficiency	Common variable immune deficiency	D83.8,D83.0,D83.9,D83	D017074	240500,616873,607594,615559,616576,613494,615767,613496,615577,614700,613495,613493,614699	23238000,191011000	C0009447
complement-component-2-deficiency	Complement component 2 deficiency		D007153	217000	234599007	C3150275
complement-component-8-deficiency	Complement component 8 deficiency	D84.1	D007153	613790,613789	234616007,234614005	C3151081,C3151080
complement-factor-i-deficiency	Complement factor I deficiency		D007153	610984	234621005	C0019250
complete-lcat-deficiency	Complete LCAT deficiency		D007863	245900	238091006	C0023195
complete-plasminogen-activator-inhibitor-1-deficiency	Complete plasminogen activator inhibitor 1 deficiency		D025861	613329	717407006	C2750067
cone-rod-dystrophy	Cone-rod dystrophy	H35.52	D000071700	612775,615163,600624,602093,300476,300085,120970,615973,600977,604116,616502,304020,601777,612657,603649,608194,605549,615374,610283,615860,610381	80328002	C1844776,C2675210,C1846529,C1858806,C3489532,C4085590,C1835865,C1832976,C1845407,C4014501,C3554610,C1866293,C4014856,C3281045,C1423873,C3150912,C1863634,C3809299,C1833564,C2750720
congenital-adrenal-hyperplasia-due-to-11-beta-hydroxylase-deficiency	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	E25.0	D000312	202010	124214007,237751000	C0268292
congenital-afibrinogenemia	Congenital afibrinogenemia		D000347	202400	154818001	C0019250
congenital-anomalies-of-kidney-and-urinary-tract	Congenital anomalies of kidney and urinary tract		D014570,D014564	610805,143400	44513007,118642009	C1968949
congenital-bilateral-absence-of-the-vas-deferens	Congenital bilateral absence of the vas deferens	Q55.3	D052801	277180	275416002,5286009	C0403814
congenital-bile-acid-synthesis-defect-type-1	Congenital bile acid synthesis defect type 1		D002779	607765	238033007	C1843116
congenital-bile-acid-synthesis-defect-type-2	Congenital bile acid synthesis defect type 2		D002779	235555	238035000	C1856127
congenital-cataracts-facial-dysmorphism-and-neuropathy	Congenital cataracts, facial dysmorphism, and neuropathy		D015417	604168	702433001	C1858726
congenital-central-hypoventilation-syndrome	Congenital central hypoventilation syndrome	G47.35	D020182	209880	399040002	C1275808
congenital-contractural-arachnodactyly	Congenital contractural arachnodactyly		D001176	121050	205821003	C0220668
congenital-deafness-with-labyrinthine-aplasia-microtia-and-microdontia	Congenital deafness with labyrinthine aplasia, microtia, and microdontia		D006311	610706	702360007	C1853144
congenital-diaphragmatic-hernia	Congenital diaphragmatic hernia	Q79.0	D006548	610187,222400,142340	17190001	C1857284,C1857781
congenital-dyserythropoietic-anemia	Congenital dyserythropoietic anemia	D64.4	D000742	105600,224120,224100	68870007,59548005,52951008,26409005	C0002876
congenital-fiber-type-disproportion	Congenital fiber-type disproportion		D020914	255310	240084007	C0546264
congenital-fibrosis-of-the-extraocular-muscles	Congenital fibrosis of the extraocular muscles		D015785	135700,609428,602078,600638	400946004,204217005	C1302995
congenital-generalized-lipodystrophy	Congenital generalized lipodystrophy		D052497	613327,608594,269700,612526	284449005	C2675861,C1720863,C0221032,C2750069,C1720862
congenital-hemidysplasia-with-ichthyosiform-erythroderma-and-limb-defects	Congenital hemidysplasia with ichthyosiform erythroderma and limb defects		D016113	308050	17608003	C0265267
congenital-hyperinsulinism	Congenital hyperinsulinism	E16.1	D044903	609968,602485,256450,601820,606762,609975,610021	360339005	C2931832,C1865290,C2931833,C3888018,C1864952,C1864948,C1864902,C1847555
congenital-hypothyroidism	Congenital hypothyroidism	E03.8,E03.1,E03.9,E03.0	D003409	274500,275200,274400,218700,274900,607200	278503003,367524008,237515009,64491003,190268003,75065003	C0342196,C1846632,C1869118,C0010308,C3493776,C1848805,C1291299
congenital-insensitivity-to-pain-with-anhidrosis	Congenital insensitivity to pain with anhidrosis		D009477	256800	62985007	C0020074
congenital-leptin-deficiency	Congenital leptin deficiency		D009767	614962	700150001	C3554224
congenital-mirror-movement-disorder	Congenital mirror movement disorder		D009069	157600,614508	229247004	
congenital-myasthenic-syndrome	Congenital myasthenic syndrome	G70.2	D020294	254300,603034,608930,608931,601462,610542,254210,614198	230672006,230670003	C4225374,CN119608,C4225413,C0393929,C1864233,C3552335,C0751882,C1850792,C4225367,C2931107,C4225368,C4225372,C3280112,C3808739,C4225405
congenital-nephrotic-syndrome	Congenital nephrotic syndrome	N04	D009404	600995,256300	48796009	C0403399,C1868672
congenital-plasminogen-deficiency	Congenital plasminogen deficiency	H10.511,H10.513,H10.519,H10.51,H10.512	D020147	217090	95841006,403435005	C1968804
congenital-stromal-corneal-dystrophy	Congenital stromal corneal dystrophy		D003317	610048	702359002	C1864738
congenital-sucrase-isomaltase-deficiency	Congenital sucrase-isomaltase deficiency	E74.31	D002239	222900	78373000	C1283620
constitutional-mismatch-repair-deficiency-syndrome	Constitutional mismatch repair deficiency syndrome		D015179	276300		C5399763
core-binding-factor-acute-myeloid-leukemia	Core binding factor acute myeloid leukemia		D015470	601626	702446006,838355002	C0023467
cornelia-de-lange-syndrome	Cornelia de Lange syndrome		D003635	300882,300590,122470,614701,610759	40354009	C4551851,C3550903,C1853099,C3553517,C0270972
corticosteroid-binding-globulin-deficiency	Corticosteroid-binding globulin deficiency		D030342	611489	237768001	C1852529
corticosterone-methyloxidase-deficiency	Corticosterone methyloxidase deficiency		D006994	610600,203400	47757001	C0268293,C3463917
costeff-syndrome	Costeff syndrome	E71.111	D008661	258501	297232009	C0574084
costello-syndrome	Costello syndrome		D056685	218040	309776008	C0587248
cowden-syndrome	Cowden syndrome	Q85.8	D006223	616858,615107,615108,615109,158350	58037000	CN072330,C4225179,C3554518,C0018553,C3554517,C3554519
cranioectodermal-dysplasia	Cranioectodermal dysplasia		D004476,D000015	614378,614099,218330,613610	254093009	C3150874,C0432235,C3279807,C3280616
craniofacial-deafness-hand-syndrome	Craniofacial-deafness-hand syndrome		D019465,D006319	122880	702362004	C1852510
craniofrontonasal-syndrome	Craniofrontonasal syndrome		D019465	304110	715421009	C0220767
craniometaphyseal-dysplasia	Craniometaphyseal dysplasia		D009139	123000	36601008,254135003,254134004	C2931244,C1852502
cri-du-chat-syndrome	Cri-du-chat syndrome	Q93.4	D003410	123450	70173007	C0010314
crigler-najjar-syndrome	Crigler-Najjar syndrome	E80.5	D003414	218800,606785	8933000,28259009,68067009	C0010324,C2931132
critical-congenital-heart-disease	Critical congenital heart disease	Q20.1,Q22.5,Q22.0,Q22.4,Q25.1,Q23.4,Q21.3	D006330	605376,120000,217095,265150,608808,241550,613854,224700,178370,187500,106700,605067,614435	447832002,447914003,253590009,204354004,448794008,45503006,63042009,7305005,86299006,204357006,719955006,204296002,39905002,253443005,7484005,17394001,399228007,26146002,61959006,443379009,62067003,253591008,218728005,448599000	C0152101,C0013481,C0040761,C0039685,C3151221,C0152021,C3280795,C1415817
crohns-disease	Crohn's disease	K50.112,K50.10,K50.90,K50.812,K50.01,K50.1,K50.0,K50.9,K50.013,K50.111,K50.818,K50.814,K50.919,K50.00,K50.11,K50.018,K50.914,K50.118,K50.113,K50.91,K50.80,K50.811,K50.913,K50.014,K50.119,K50.813,K50.918,K50.012,K50.8,K50.819,K50.114,K50.011,K50.912,K50,K50.81,K50.911,K50.019	D003424	612259,266600,612354,612245,612261,606674,612262,612381,604519,191390,612567,612796,612255,611081,608448,605225,612566,612241,612244,601458,612288,606348,612278,612380,613148,606675,606668	50440006,38106008,34000006,52457000	CN260071
crouzon-syndrome	Crouzon syndrome	Q75.1	D003394	123500	28861008	C0010273
crouzon-syndrome-with-acanthosis-nigricans	Crouzon syndrome with acanthosis nigricans	Q75.1	D003394,D000052,D003398	612247	702361006	C2677099
cryopyrin-associated-periodic-syndromes	Cryopyrin-associated periodic syndromes 		D056587	191900,607115,120100		C0409818,C4551895,C0268390
cryptogenic-cirrhosis	Cryptogenic cirrhosis	K74.69	D008103	215600	89580002	C0267809
cul3-related-neurodevelopmental-disorder	CUL3-related neurodevelopmental disorder			619239		C5543225
cutis-laxa	Cutis laxa		D003483	304150,614437,219150,613177,219200,614100,612940,123700,614434,616603,614438,219100	73856006,59451000,58588007,59399004	C0268355,C0268350,C0268353,C3665335
cyclic-neutropenia	Cyclic neutropenia	D70.4	D009503	162800	191347008	C0221023
cyclic-vomiting-syndrome	Cyclic vomiting syndrome	G43.A0,G43.A1,G43.A	D014839	500007	18773000	
cyld-cutaneous-syndrome	CYLD cutaneous syndrome		D018250,D003528	132700,605041,601606		C1857941,C1851526,C1275122
cystic-fibrosis	Cystic fibrosis	E84.1,E84.8,E84,E84.9,E84.19,E84.11,Z14.1,E84.0	D003550	219700	190905008,86555001,235978006	C0010674
cystinosis	Cystinosis	E72.04	D003554	219900,219800,219750	236466005,190681003,22830006	C4316899
cystinuria	Cystinuria	E72.01	D003555	220100	85020001	C0010691
cytochrome-c-oxidase-deficiency	Cytochrome c oxidase deficiency		D030401	604377,615119,616500,220110,616501	67434000	C3554534,C4225154,C5399977,C4225304
cytochrome-p450-oxidoreductase-deficiency	Cytochrome P450 oxidoreductase deficiency		D054882	201750	62964007	C1860042
cytogenetically-normal-acute-myeloid-leukemia	Cytogenetically normal acute myeloid leukemia		D015470	601626	703387000	C0023467
czech-dysplasia	Czech dysplasia		D010009	609162	389159004	C1836683
dandy-walker-malformation	Dandy-Walker malformation	Q03.1	D003616	220200	14447001,840471002	C0010964
danon-disease	Danon disease		D052120	300257	419097006	C0878677
darier-disease	Darier disease		D007644	124200	403784003,48611009,239110000,403785002,403787005,403786001,403783009,400018004	C0022595
d-bifunctional-protein-deficiency	D-bifunctional protein deficiency	E71.541	D018901	261515	238068007	C0342870
deafness-and-myopia-syndrome	Deafness and myopia syndrome		D009216,D006319	221200	720506002	C3806275
deafness-dystonia-optic-neuronopathy-syndrome	Deafness-dystonia-optic neuronopathy syndrome		D040181	304700	702423009	C0796074
dementia-with-lewy-bodies	Dementia with Lewy bodies	G31.83	D020961	127750	80098002	C0752347
dentatorubral-pallidoluysian-atrophy	Dentatorubral-pallidoluysian atrophy		D020191	125370	68116008	C0751781
dent-disease	Dent disease		D057973	300555,300009	444645005	C1848336,C1845167
dentinogenesis-imperfecta	Dentinogenesis imperfecta	Q78.0	D003811	125490,125420,125500	196286005,234970006,234969005	C0399378,C2973527
denys-drash-syndrome	Denys-Drash syndrome		D030321	194080	236385009	C0950121
deoxyguanosine-kinase-deficiency	Deoxyguanosine kinase deficiency		D028361	251880	237995002	C5191055
dermatofibrosarcoma-protuberans	Dermatofibrosarcoma protuberans		D018223	607907	276799004	C3693482
desmoid-tumor	Desmoid tumor		D018222	135290	47284001,399994005,725049005	C1851124
desmosterolosis	Desmosterolosis		D008052	602398	709490002	C1865596
developmental-and-epileptic-encephalopathy-1	Developmental and epileptic encephalopathy 1		D038901	308350	28055006	C0037769,C3463992
diamond-blackfan-anemia	Diamond-Blackfan anemia	D61.01	D029503	617408,105650,612563,614900,613309,606129,615550,606164,612528,612561,612562,613308,615909,617409,612527,300946,610629	88854002,191240007,71988008	C1260899
diastrophic-dysplasia	Diastrophic dysplasia	Q77.5	D010009	222600	58561002	C0220726
dicer1-syndrome	DICER1 syndrome		D009386	601200,138800	702411003	C1266144
dihydrolipoamide-dehydrogenase-deficiency	Dihydrolipoamide dehydrogenase deficiency		D028361	246900	29914000	CN043137
dihydropyrimidinase-deficiency	Dihydropyrimidinase deficiency		D011686	222748	238014002	C0342803
dihydropyrimidine-dehydrogenase-deficiency	Dihydropyrimidine dehydrogenase deficiency		D054067	274270	77365006	
dilated-cardiomyopathy-with-ataxia-syndrome	Dilated cardiomyopathy with ataxia syndrome	E71.111	D008661	610198	711412004	C1857776
distal-18q-deletion-syndrome	Distal 18q deletion syndrome		D025063	601808		C0432443
distal-arthrogryposis-type-1	Distal arthrogryposis type 1		D001176	108120	715314008	C0220662
distal-hereditary-motor-neuropathy-type-ii	Distal hereditary motor neuropathy, type II		D009134	608634,158590	230247001	C1834692,C2608087
distal-hereditary-motor-neuropathy-type-v	Distal hereditary motor neuropathy, type V		D009134	614751,600794	230247001	C3553656,C5399969,C5436838,CN305318
distal-myopathy-2	Distal myopathy 2		D049310	606070	702383005	C3807521
dlg4-related-synaptopathy	DLG4-related synaptopathy			618793		C5394083
dnmt3a-overgrowth-syndrome	DNMT3A overgrowth syndrome		D005877	615879		C4014545
dock8-immunodeficiency-syndrome	DOCK8 immunodeficiency syndrome	D82.4	D007153	243700		C4722305
dolk-congenital-disorder-of-glycosylation	DOLK-congenital disorder of glycosylation		D018981	610768	718712005	C1835849
donnai-barrow-syndrome	Donnai-Barrow syndrome		D015499	222448	702418009	C1857277
donohue-syndrome	Donohue syndrome		D056731	246200	111307005	C0265344
doors-syndrome	DOORS syndrome		D000015	220500	719800009	
dopamine-beta-hydroxylase-deficiency	Dopamine beta-hydroxylase deficiency		D001342	223360	237923004	C4746777
dopamine-transporter-deficiency-syndrome	Dopamine transporter deficiency syndrome		D020821,D010300	613135	722763000	C5700336
dopa-responsive-dystonia	Dopa-responsive dystonia		D004421	612716,128230,605407	715768000,230332007,715827001,45116002	C0268468,C1851920,C2673535
dowling-degos-disease	Dowling-Degos disease		D012873	615674,615696,179850,615327	239054009	C3809147,C3810313,C4552092
down-syndrome	Down syndrome	Q90,Q90.1,Q90.0,Q90.9,Q90.2	D004314	190685	371045000,205615000,254264002,205616004,41040004	C0013080
duane-radial-ray-syndrome	Duane-radial ray syndrome	H50.811,H50.812,H50.81	D004370	607323	699867001	C1623209
dubin-johnson-syndrome	Dubin-Johnson syndrome	E80.6	D007566	237500	44553005	C0022350
duchenne-and-becker-muscular-dystrophy	Duchenne and Becker muscular dystrophy		D020388	300376,310200	387732009,76670001	C0013264,C0917713
dupuytren-contracture	Dupuytren contracture	M72.0	D004387	126900	274142002	
dyserythropoietic-anemia-and-thrombocytopenia	Dyserythropoietic anemia and thrombocytopenia		D013921	300367	713388002	C3550789
dyskeratosis-congenita	Dyskeratosis congenita		D019871	613987,224230,268130,613988,127550,615190,613990,613989,305000	74911008	C0265965
dystonia-16	Dystonia 16		D020821	612067	722435003	C2677567
dystonia-6	Dystonia 6	G24.1	D020821	602629	702448007	C1414216
dystrophic-epidermolysis-bullosa	Dystrophic epidermolysis bullosa	Q81.2	D016108	226600,131750	254185007,48528004,111389006,75875004,254188009,254186008	C0079294,C0432322,C0079474
early-onset-glaucoma	Early-onset glaucoma	Q15.0	D005901	231300,137750	71111008,415176004	C2981140,C1842028
early-onset-isolated-dystonia	Early-onset isolated dystonia	G24.1	D020821	128100	22451001	C1851945
early-onset-myopathy-with-fatal-cardiomyopathy	Early-onset myopathy with fatal cardiomyopathy		D009135	611705	702343002	C2673677
ehlers-danlos-syndrome	Ehlers-Danlos syndrome	Q79.6	D004535	608763,225410,614557,130000,130090,618000,130010,130070,225400,615349,130050,601776,229200,130080,606408,225320,615539,617174,225310,130060,314400,130020	55711009,30652003,83470009,398114001,25606004,20766005,17025000	C3281160,C3809845,C4310681,C0268342,C2700425,C4303789,C3508773,C0013720,C4551499,C1866294,C1851801
ellis-van-creveld-syndrome	Ellis-van Creveld syndrome	Q77.6	D004613	225500	62501005	C0013903
emanuel-syndrome	Emanuel syndrome		D025063	609029	702417004	
emery-dreifuss-muscular-dystrophy	Emery-Dreifuss muscular dystrophy		D020389	181350,310300,612998,614302,612999,616516	111508004	C0410189
encephalocraniocutaneous-lipomatosis	Encephalocraniocutaneous lipomatosis		D020752,D008068,D005128	613001	238905009	C0406612
enlarged-parietal-foramina	Enlarged parietal foramina		D004413	609597,168500	718099006	C1868598,C1865044,C1868599
eosinophil-peroxidase-deficiency	Eosinophil peroxidase deficiency		D007960	261500	711160007	C1850000
epidermal-nevus	Epidermal nevus		D009506	162900	239107007	C0334082
epidermolysis-bullosa-simplex	Epidermolysis bullosa simplex	Q81.0	D016110	609352,131900,131950,131800,601001,131960,131760	67144006,254180002,398071000,90496008	C0079298,C0432317
epidermolysis-bullosa-with-pyloric-atresia	Epidermolysis bullosa with pyloric atresia	Q81.0	D004820	226730,612138	53748002	C2677349,C5676957,C5676875
epidermolytic-hyperkeratosis	Epidermolytic hyperkeratosis	Q80.3	D017488	113800	254167000	C0079153
epilepsy-aphasia-spectrum	Epilepsy-aphasia spectrum		D007805,D013064,D019305,D018887,D004827	245570	230384001,230438007,230439004,44145005	
episodic-ataxia	Episodic ataxia		D001259	600111,160120,611907,606554,606552,108500,601949	420932006,421182009,421455009	C2677843,C1719788,C1720416
erdheim-chester-disease	Erdheim-Chester disease		D031249		703711007	
erythrokeratodermia-variabilis-et-progressiva	Erythrokeratodermia variabilis et progressiva		D056266	133200,617525,617756,617526,617524	70041004	C4551486
erythromelalgia	Erythromelalgia	I73.81	D004916	133020	37151006,403390002	C0014805
essential-pentosuria	Essential pentosuria		D002239	260800	190764000	C0268162
essential-thrombocythemia	Essential thrombocythemia	D47.3	D013920	187950	128844009,109994006	C3277671
ethylmalonic-encephalopathy	Ethylmalonic encephalopathy		D001928	602473	723307008	C1865349
ewing-sarcoma	Ewing sarcoma		D012512	612219	307608006,447951009,76909002,128783001	C0553580
fabry-disease	Fabry disease	E75.21	D000795	301500	838319005,124464003,16652001	C0002986
facioscapulohumeral-muscular-dystrophy	Facioscapulohumeral muscular dystrophy		D020391	158900,158901	399091004	C0238288,C1834671
factor-v-deficiency	Factor V deficiency		D005166	227400	4320005	C0015499
factor-vii-deficiency	Factor VII deficiency		D005168	227500	37193007	C0015503
factor-v-leiden-thrombophilia	Factor V Leiden thrombophilia	D68.51	D020016	188055	421527008	C1861171
factor-x-deficiency	Factor X deficiency	D68.2	D005171	227600	76642003	C0015519
factor-xi-deficiency	Factor XI deficiency	D68.1	D005173	612416	49762007	C0015523
factor-xiii-deficiency	Factor XIII deficiency		D005177	613225,613235	18604004	C2750481,C2750514
familial-acute-myeloid-leukemia-with-mutated-cebpa	Familial acute myeloid leukemia with mutated CEBPA		D015470	601626	397340004	C0023467
familial-adenomatous-polyposis	Familial adenomatous polyposis		D011125	135290,608456,175100	423471004,72900001	C0032580,C2713442,C3272841,C1851124
familial-atrial-fibrillation	Familial atrial fibrillation	I48.4,I48.3,I48.9,I48	D001281	614022,612240,608583,607554,613055,612201,613980,615378,615770,611494,614050,608988,617280,614049,615377,611493	49436004	C1837014,C3151464,C3809312,C2677294,C2677106,C3279693,C4013699,C3151431,C3279695,C1843687,C4013560,C4014269,C4310636,C3809311,C1862394
familial-candidiasis	Familial candidiasis	B37	D002178	616622,616445,615527,613953,613956,607644,614162,613108,212050,114580	235073000	C0341024
familial-cold-autoinflammatory-syndrome-type-2	Familial cold autoinflammatory syndrome type 2			611762		C2673198
familial-dilated-cardiomyopathy	Familial dilated cardiomyopathy	I42.0	D002311	115200,611878,606685,613426,605582,608569,615235,613424,607487,611879,611880,607482,604145,613172,601493,600884,609909,612158,615396,615184,613694,604288,612877,615248,601494,302045,614672,613697,611407,609915,601154,613252,604765,613881,605362	52029003	C0007193
familial-dysautonomia	Familial dysautonomia	G90.1	D004402	223900	29159009	C0013364
familial-encephalopathy-with-neuroserpin-inclusion-bodies	Familial encephalopathy with neuroserpin inclusion bodies		D004831,D020271	604218	702421006	C1858680
familial-erythrocytosis	Familial erythrocytosis	D75.0	D011086	609820,263400,611783,133100	17342003	C1837915,C2673187,C1853286
familial-exudative-vitreoretinopathy	Familial exudative vitreoretinopathy		D012164	305390,605750,601813,133780	232063007	C1844579,C1866176,C1851402
familial-focal-epilepsy-with-variable-foci	Familial focal epilepsy with variable foci		D004828	617118,617116,604364		C4310709,C4310708,C4551983
familial-glucocorticoid-deficiency	Familial glucocorticoid deficiency		D000309	202200,609981,609197,614736,607398	71974009	C3553587,C1864947,C4049650,C4049714
familial-hdl-deficiency	Familial HDL deficiency		D052456	604091	190785000,15346004	
familial-hemiplegic-migraine	Familial hemiplegic migraine	G43.409	D020325	609634,141500,602481	95656000	C1865322,C0338484,C1864987
familial-hemophagocytic-lymphohistiocytosis	Familial hemophagocytic lymphohistiocytosis	D76.1	D051359	608898,603553,267700,603552,613101	398250003	C0272199
familial-hyperaldosteronism	Familial hyperaldosteronism	E26.02	D006929	103900,613677,605635	703231005	C3713420
familial-hypercholesterolemia	Familial hypercholesterolemia	E78.0,E78.01	D006937	603813,143890,603776,144010	397915002,238076009,238081000,398036000	C1863512,C1863551,C0020445,C1704417
familial-hypertrophic-cardiomyopathy	Familial hypertrophic cardiomyopathy		D024741	192600,612098,613690,608751,600858,612124,613838,607487,613765,613243,115196,115197,614676,613251,613874,608758,613876,613873,613255,115195	83978005,360465008	C1861862,C1861864,C3495498,C1860752
familial-hypobetalipoproteinemia	Familial hypobetalipoproteinemia	E78.6	D006995	615558,605019	190786004,60193003,238094003,238093009	C1862596,C1857970
familial-isolated-hyperparathyroidism	Familial isolated hyperparathyroidism	E21.0	D049950	145000	237653008	C1840402
familial-isolated-pituitary-adenoma	Familial isolated pituitary adenoma		D010911	102200	702375004	CN169290
familial-lipoprotein-lipase-deficiency	Familial lipoprotein lipase deficiency	E78.3	D008072	238600	275598004,238086005,267435002,403827000	C0023817
familial-male-limited-precocious-puberty	Familial male-limited precocious puberty	E29.0	D011629	176410	725295005	C0342549
familial-mediterranean-fever	Familial Mediterranean fever	E85.0	D010505	134610,249100	12579009	C0031069,C1851347
familial-osteochondritis-dissecans	Familial osteochondritis dissecans	M93.212,M93.27,M93.29,M93.222,M93.259,M93.231,M93.242,M93.24,M93.262,M93.26,M93.232,M93.239,M93.23,M93.2,M93.22,M93.272,M93.261,M93.229,M93.271,M93.252,M93.279,M93.241,M93.221,M93.249,M93.28,M93.219,M93.251,M93.21,M93.25,M93.269,M93.20,M93.211	D010008	165800	82562007	C3665488
familial-paroxysmal-kinesigenic-dyskinesia	Familial paroxysmal kinesigenic dyskinesia		D020820	128200	609221008	C4552000
familial-paroxysmal-nonkinesigenic-dyskinesia	Familial paroxysmal nonkinesigenic dyskinesia		D020820	611147,118800	609218006	C1970149,C1869117
familial-partial-lipodystrophy	Familial partial lipodystrophy		D052496	151660,608600,604367,615980,615238,613877	49292002	C0271694
familial-pityriasis-rubra-pilaris	Familial pityriasis rubra pilaris	L44.0	D010916	173200	238622008	C0032027
familial-porencephaly	Familial porencephaly	Q04.6	D065708	175780	38353004	C1867983
familial-restrictive-cardiomyopathy	Familial restrictive cardiomyopathy	I42.5	D002313	612422,115210,609578	233878008	C1861861,C0340429,C2676271
familial-thoracic-aortic-aneurysm-and-dissection	Familial thoracic aortic aneurysm and dissection	I71.03,I71.1,I71.0,I71.00,I71.6,I71.5,I71.01,I71.2	D017545	615436,607087,613780,132900,611788,607086	433068007	C4707243
