name	ghr-page	reviewed	published
CUL3-related neurodevelopmental disorder	https://medlineplus.gov/genetics/condition/cul3-related-neurodevelopmental-disorder	None	2023-10-10
CYLD cutaneous syndrome	https://medlineplus.gov/genetics/condition/cyld-cutaneous-syndrome	2020-12	2023-03-27
Caffey disease	https://medlineplus.gov/genetics/condition/caffey-disease	2013-04	2020-08-18
Campomelic dysplasia	https://medlineplus.gov/genetics/condition/campomelic-dysplasia	2014-06	2023-10-27
Camurati-Engelmann disease	https://medlineplus.gov/genetics/condition/camurati-engelmann-disease	2017-11	2020-08-18
Canavan disease	https://medlineplus.gov/genetics/condition/canavan-disease	2015-04	2020-08-18
Cantú syndrome	https://medlineplus.gov/genetics/condition/cantu-syndrome	2013-01	2020-08-18
Cap myopathy	https://medlineplus.gov/genetics/condition/cap-myopathy	2012-04	2020-08-18
Capillary malformation-arteriovenous malformation syndrome	https://medlineplus.gov/genetics/condition/capillary-malformation-arteriovenous-malformation-syndrome	2011-08	2023-03-21
Carbamoyl phosphate synthetase I deficiency	https://medlineplus.gov/genetics/condition/carbamoyl-phosphate-synthetase-i-deficiency	2013-02	2020-08-18
Carbonic anhydrase VA deficiency	https://medlineplus.gov/genetics/condition/carbonic-anhydrase-va-deficiency	2016-09	2021-11-26
Cardiofaciocutaneous syndrome	https://medlineplus.gov/genetics/condition/cardiofaciocutaneous-syndrome	2022-03	2023-03-21
Carney complex	https://medlineplus.gov/genetics/condition/carney-complex	2010-01	2020-08-18
Carnitine palmitoyltransferase I deficiency	https://medlineplus.gov/genetics/condition/carnitine-palmitoyltransferase-i-deficiency	2014-04	2023-08-18
Carnitine palmitoyltransferase II deficiency	https://medlineplus.gov/genetics/condition/carnitine-palmitoyltransferase-ii-deficiency	2014-06	2023-07-26
Carnitine-acylcarnitine translocase deficiency	https://medlineplus.gov/genetics/condition/carnitine-acylcarnitine-translocase-deficiency	2015-11	2023-07-26
Carpal tunnel syndrome	https://medlineplus.gov/genetics/condition/carpal-tunnel-syndrome	2018-11	2020-08-18
Carpenter syndrome	https://medlineplus.gov/genetics/condition/carpenter-syndrome	2013-05	2020-08-18
Cartilage-hair hypoplasia	https://medlineplus.gov/genetics/condition/cartilage-hair-hypoplasia	2015-03	2021-11-24
Catecholaminergic polymorphic ventricular tachycardia	https://medlineplus.gov/genetics/condition/catecholaminergic-polymorphic-ventricular-tachycardia	2020-07	2020-08-18
Caudal regression syndrome	https://medlineplus.gov/genetics/condition/caudal-regression-syndrome	2015-08	2023-09-18
Celiac disease	https://medlineplus.gov/genetics/condition/celiac-disease	2019-04	2020-08-18
Central core disease	https://medlineplus.gov/genetics/condition/central-core-disease	2020-05	2023-03-27
Central precocious puberty	https://medlineplus.gov/genetics/condition/central-precocious-puberty	2016-10	2020-08-18
Centronuclear myopathy	https://medlineplus.gov/genetics/condition/centronuclear-myopathy	2015-11	2023-08-18
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	https://medlineplus.gov/genetics/condition/cerebral-autosomal-dominant-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy	2019-04	2020-08-18
Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy	https://medlineplus.gov/genetics/condition/cerebral-autosomal-recessive-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy	2011-04	2020-08-18
Cerebral cavernous malformation	https://medlineplus.gov/genetics/condition/cerebral-cavernous-malformation	2020-04	2020-08-18
Cerebral folate transport deficiency	https://medlineplus.gov/genetics/condition/cerebral-folate-transport-deficiency	2019-12	2020-08-18
Cerebro-facio-thoracic dysplasia	https://medlineplus.gov/genetics/condition/cerebro-facio-thoracic-dysplasia	2019-03	2023-07-12
Cerebrotendinous xanthomatosis	https://medlineplus.gov/genetics/condition/cerebrotendinous-xanthomatosis	2016-09	2020-08-18
Chanarin-Dorfman syndrome	https://medlineplus.gov/genetics/condition/chanarin-dorfman-syndrome	2008-11	2020-08-18
Channelopathy-associated congenital insensitivity to pain	https://medlineplus.gov/genetics/condition/channelopathy-associated-congenital-insensitivity-to-pain	2012-11	2023-05-18
Char syndrome	https://medlineplus.gov/genetics/condition/char-syndrome	2008-06	2022-08-08
Charcot-Marie-Tooth disease	https://medlineplus.gov/genetics/condition/charcot-marie-tooth-disease	2018-10	2023-03-27
Chediak-Higashi syndrome	https://medlineplus.gov/genetics/condition/chediak-higashi-syndrome	2014-01	2023-03-21
Cherubism	https://medlineplus.gov/genetics/condition/cherubism	2021-06	2021-06-01
Childhood absence epilepsy	https://medlineplus.gov/genetics/condition/childhood-absence-epilepsy	2018-08	2020-08-18
Childhood myocerebrohepatopathy spectrum	https://medlineplus.gov/genetics/condition/childhood-myocerebrohepatopathy-spectrum	2011-06	2020-08-18
Cholangiocarcinoma	https://medlineplus.gov/genetics/condition/cholangiocarcinoma	2020-06	2020-08-18
Chordoma	https://medlineplus.gov/genetics/condition/chordoma	2015-05	2020-08-18
Chorea-acanthocytosis	https://medlineplus.gov/genetics/condition/chorea-acanthocytosis	2020-03	2020-08-18
Choroideremia	https://medlineplus.gov/genetics/condition/choroideremia	2013-07	2020-08-18
Christianson syndrome	https://medlineplus.gov/genetics/condition/christianson-syndrome	2012-04	2020-08-18
Chronic atrial and intestinal dysrhythmia	https://medlineplus.gov/genetics/condition/chronic-atrial-and-intestinal-dysrhythmia	2015-05	2023-03-21
Chronic granulomatous disease	https://medlineplus.gov/genetics/condition/chronic-granulomatous-disease	2016-01	2020-08-18
Chronic myeloid leukemia	https://medlineplus.gov/genetics/condition/chronic-myeloid-leukemia	2016-09	2020-09-08
Chylomicron retention disease	https://medlineplus.gov/genetics/condition/chylomicron-retention-disease	2018-08	2022-05-17
Citrullinemia	https://medlineplus.gov/genetics/condition/citrullinemia	2017-05	2020-08-18
Cleidocranial dysplasia	https://medlineplus.gov/genetics/condition/cleidocranial-dysplasia	2017-08	2020-08-18
Clopidogrel resistance	https://medlineplus.gov/genetics/condition/clopidogrel-resistance	2015-12	2020-09-28
Clouston syndrome	https://medlineplus.gov/genetics/condition/clouston-syndrome	2014-03	2020-08-18
Coats plus syndrome	https://medlineplus.gov/genetics/condition/coats-plus-syndrome	2014-04	2023-03-21
Cockayne syndrome	https://medlineplus.gov/genetics/condition/cockayne-syndrome	2016-06	2023-08-22
Coffin-Lowry syndrome	https://medlineplus.gov/genetics/condition/coffin-lowry-syndrome	2016-02	2020-08-18
Coffin-Siris syndrome	https://medlineplus.gov/genetics/condition/coffin-siris-syndrome	2021-08	2021-08-30
Cohen syndrome	https://medlineplus.gov/genetics/condition/cohen-syndrome	2017-06	2021-11-26
Cold-induced sweating syndrome	https://medlineplus.gov/genetics/condition/cold-induced-sweating-syndrome	2012-08	2020-08-18
Cole disease	https://medlineplus.gov/genetics/condition/cole-disease	2015-01	2023-07-19
Collagen VI-related dystrophy	https://medlineplus.gov/genetics/condition/collagen-vi-related-myopathy	2015-10	2022-07-19
Coloboma	https://medlineplus.gov/genetics/condition/coloboma	2018-10	2023-03-21
Color vision deficiency	https://medlineplus.gov/genetics/condition/color-vision-deficiency	2015-01	2020-08-18
Combined malonic and methylmalonic aciduria	https://medlineplus.gov/genetics/condition/combined-malonic-and-methylmalonic-aciduria	2013-01	2023-07-26
Combined oxidative phosphorylation deficiency 1	https://medlineplus.gov/genetics/condition/combined-oxidative-phosphorylation-deficiency-1	2017-09	2020-08-18
Combined pituitary hormone deficiency	https://medlineplus.gov/genetics/condition/combined-pituitary-hormone-deficiency	2010-08	2023-08-22
Common variable immune deficiency	https://medlineplus.gov/genetics/condition/common-variable-immune-deficiency	2016-05	2023-08-22
Complement component 2 deficiency	https://medlineplus.gov/genetics/condition/complement-component-2-deficiency	2014-06	2020-08-18
Complement component 8 deficiency	https://medlineplus.gov/genetics/condition/complement-component-8-deficiency	2015-12	2020-08-18
Complement factor I deficiency	https://medlineplus.gov/genetics/condition/complement-factor-i-deficiency	2010-09	2020-08-18
Complete LCAT deficiency	https://medlineplus.gov/genetics/condition/complete-lcat-deficiency	2013-08	2020-08-18
Complete plasminogen activator inhibitor 1 deficiency	https://medlineplus.gov/genetics/condition/complete-plasminogen-activator-inhibitor-1-deficiency	2017-10	2020-08-18
Cone-rod dystrophy	https://medlineplus.gov/genetics/condition/cone-rod-dystrophy	2018-03	2020-08-18
Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	https://medlineplus.gov/genetics/condition/congenital-adrenal-hyperplasia-due-to-11-beta-hydroxylase-deficiency	2018-09	2023-07-26
Congenital afibrinogenemia	https://medlineplus.gov/genetics/condition/congenital-afibrinogenemia	2014-09	2020-08-18
Congenital anomalies of kidney and urinary tract	https://medlineplus.gov/genetics/condition/congenital-anomalies-of-kidney-and-urinary-tract	2018-11	2023-03-21
Congenital bilateral absence of the vas deferens	https://medlineplus.gov/genetics/condition/congenital-bilateral-absence-of-the-vas-deferens	2018-10	2023-03-21
Congenital bile acid synthesis defect type 1	https://medlineplus.gov/genetics/condition/congenital-bile-acid-synthesis-defect-type-1	2015-04	2020-08-18
Congenital bile acid synthesis defect type 2	https://medlineplus.gov/genetics/condition/congenital-bile-acid-synthesis-defect-type-2	2015-04	2020-08-18
Congenital cataracts, facial dysmorphism, and neuropathy	https://medlineplus.gov/genetics/condition/congenital-cataracts-facial-dysmorphism-and-neuropathy	2010-04	2020-08-18
Congenital central hypoventilation syndrome	https://medlineplus.gov/genetics/condition/congenital-central-hypoventilation-syndrome	2019-09	2023-03-21
Congenital contractural arachnodactyly	https://medlineplus.gov/genetics/condition/congenital-contractural-arachnodactyly	2013-07	2020-08-18
Congenital deafness with labyrinthine aplasia, microtia, and microdontia	https://medlineplus.gov/genetics/condition/congenital-deafness-with-labyrinthine-aplasia-microtia-and-microdontia	2012-11	2020-08-18
Congenital diaphragmatic hernia	https://medlineplus.gov/genetics/condition/congenital-diaphragmatic-hernia	2019-12	2020-08-18
Congenital dyserythropoietic anemia	https://medlineplus.gov/genetics/condition/congenital-dyserythropoietic-anemia	2009-07	2021-04-07
Congenital fiber-type disproportion	https://medlineplus.gov/genetics/condition/congenital-fiber-type-disproportion	2016-05	2020-08-18
Congenital fibrosis of the extraocular muscles	https://medlineplus.gov/genetics/condition/congenital-fibrosis-of-the-extraocular-muscles	2019-11	2023-08-18
Congenital generalized lipodystrophy	https://medlineplus.gov/genetics/condition/congenital-generalized-lipodystrophy	2019-01	2023-07-26
Congenital hemidysplasia with ichthyosiform erythroderma and limb defects	https://medlineplus.gov/genetics/condition/congenital-hemidysplasia-with-ichthyosiform-erythroderma-and-limb-defects	2008-07	2020-08-18
Congenital hepatic fibrosis	https://medlineplus.gov/genetics/condition/congenital-hepatic-fibrosis	2017-01	2023-04-06
Congenital hyperinsulinism	https://medlineplus.gov/genetics/condition/congenital-hyperinsulinism	2014-01	2023-07-19
Congenital hypothyroidism	https://medlineplus.gov/genetics/condition/congenital-hypothyroidism	2015-09	2023-01-23
Congenital insensitivity to pain with anhidrosis	https://medlineplus.gov/genetics/condition/congenital-insensitivity-to-pain-with-anhidrosis	2011-05	2020-08-18
Congenital leptin deficiency	https://medlineplus.gov/genetics/condition/congenital-leptin-deficiency	2013-12	2020-08-18
Congenital mirror movement disorder	https://medlineplus.gov/genetics/condition/congenital-mirror-movement-disorder	2015-04	2023-07-17
Congenital myasthenic syndrome	https://medlineplus.gov/genetics/condition/congenital-myasthenic-syndrome	2011-11	2023-08-21
Congenital nephrotic syndrome	https://medlineplus.gov/genetics/condition/congenital-nephrotic-syndrome	2016-07	2020-08-18
Congenital plasminogen deficiency	https://medlineplus.gov/genetics/condition/congenital-plasminogen-deficiency	2012-08	2021-11-26
Congenital stromal corneal dystrophy	https://medlineplus.gov/genetics/condition/congenital-stromal-corneal-dystrophy	2009-08	2020-08-18
Congenital sucrase-isomaltase deficiency	https://medlineplus.gov/genetics/condition/congenital-sucrase-isomaltase-deficiency	2008-07	2023-02-14
Constitutional mismatch repair deficiency syndrome	https://medlineplus.gov/genetics/condition/constitutional-mismatch-repair-deficiency-syndrome	2020-04	2023-08-22
Core binding factor acute myeloid leukemia	https://medlineplus.gov/genetics/condition/core-binding-factor-acute-myeloid-leukemia	2018-10	2020-09-08
Cornelia de Lange syndrome	https://medlineplus.gov/genetics/condition/cornelia-de-lange-syndrome	2022-04	2023-08-22
Corticosteroid-binding globulin deficiency	https://medlineplus.gov/genetics/condition/corticosteroid-binding-globulin-deficiency	2014-03	2023-07-26
Corticosterone methyloxidase deficiency	https://medlineplus.gov/genetics/condition/corticosterone-methyloxidase-deficiency	2013-11	2023-08-21
Costeff syndrome	https://medlineplus.gov/genetics/condition/costeff-syndrome	2019-02	2020-08-18
Costello syndrome	https://medlineplus.gov/genetics/condition/costello-syndrome	2020-01	2023-09-06
Cowden syndrome	https://medlineplus.gov/genetics/condition/cowden-syndrome	2021-03	2023-03-27
Cranioectodermal dysplasia	https://medlineplus.gov/genetics/condition/cranioectodermal-dysplasia	2013-11	2020-08-18
Craniofacial microsomia	https://medlineplus.gov/genetics/condition/craniofacial-microsomia	2012-03	2020-08-18
Craniofacial-deafness-hand syndrome	https://medlineplus.gov/genetics/condition/craniofacial-deafness-hand-syndrome	2012-08	2020-08-18
Craniofrontonasal syndrome	https://medlineplus.gov/genetics/condition/craniofrontonasal-syndrome	2020-01	2020-08-18
Craniometaphyseal dysplasia	https://medlineplus.gov/genetics/condition/craniometaphyseal-dysplasia	2018-06	2020-08-18
Cri-du-chat syndrome	https://medlineplus.gov/genetics/condition/cri-du-chat-syndrome	2020-03	2022-10-25
Crigler-Najjar syndrome	https://medlineplus.gov/genetics/condition/crigler-najjar-syndrome	2012-02	2020-08-18
Critical congenital heart disease	https://medlineplus.gov/genetics/condition/critical-congenital-heart-disease	2020-08	2020-08-18
Crohn's disease	https://medlineplus.gov/genetics/condition/crohns-disease	2022-01	2023-07-17
Crouzon syndrome	https://medlineplus.gov/genetics/condition/crouzon-syndrome	2020-01	2023-08-22
Crouzon syndrome with acanthosis nigricans	https://medlineplus.gov/genetics/condition/crouzon-syndrome-with-acanthosis-nigricans	2017-03	2020-08-18
Cryopyrin-associated periodic syndromes	https://medlineplus.gov/genetics/condition/cryopyrin-associated-periodic-syndromes	2021-08	2023-08-22
Cryptogenic cirrhosis	https://medlineplus.gov/genetics/condition/cryptogenic-cirrhosis	2016-03	2023-03-21
Cushing disease	https://medlineplus.gov/genetics/condition/cushing-disease	2012-06	2023-07-25
Cutis laxa	https://medlineplus.gov/genetics/condition/cutis-laxa	2021-08	2021-08-05
Cyclic neutropenia	https://medlineplus.gov/genetics/condition/cyclic-neutropenia	2018-10	2020-08-18
Cyclic vomiting syndrome	https://medlineplus.gov/genetics/condition/cyclic-vomiting-syndrome	2014-03	2023-03-21
Cystic fibrosis	https://medlineplus.gov/genetics/condition/cystic-fibrosis	2021-07	2023-07-26
Cystinosis	https://medlineplus.gov/genetics/condition/cystinosis	2013-05	2020-08-18
Cystinuria	https://medlineplus.gov/genetics/condition/cystinuria	2014-06	2020-08-18
Cytochrome P450 oxidoreductase deficiency	https://medlineplus.gov/genetics/condition/cytochrome-p450-oxidoreductase-deficiency	2014-03	2023-10-26
Cytochrome c oxidase deficiency	https://medlineplus.gov/genetics/condition/cytochrome-c-oxidase-deficiency	2018-06	2023-08-17
Cytogenetically normal acute myeloid leukemia	https://medlineplus.gov/genetics/condition/cytogenetically-normal-acute-myeloid-leukemia	2021-02	2023-03-27
Czech dysplasia	https://medlineplus.gov/genetics/condition/czech-dysplasia	2008-07	2020-08-18
D-bifunctional protein deficiency	https://medlineplus.gov/genetics/condition/d-bifunctional-protein-deficiency	2021-02	2023-02-17
DICER1 syndrome	https://medlineplus.gov/genetics/condition/dicer1-syndrome	2016-05	2020-08-18
DLG4-related synaptopathy	https://medlineplus.gov/genetics/condition/dlg4-related-synaptopathy	None	2023-11-03
DNMT3A overgrowth syndrome	https://medlineplus.gov/genetics/condition/dnmt3a-overgrowth-syndrome	2019-04	2022-08-03
DOCK8 immunodeficiency syndrome	https://medlineplus.gov/genetics/condition/dock8-immunodeficiency-syndrome	2019-08	2020-08-18
DOLK-congenital disorder of glycosylation	https://medlineplus.gov/genetics/condition/dolk-congenital-disorder-of-glycosylation	2019-03	2021-11-26
DOORS syndrome	https://medlineplus.gov/genetics/condition/doors-syndrome	2019-02	2020-08-18
Dandy-Walker malformation	https://medlineplus.gov/genetics/condition/dandy-walker-malformation	2015-10	2020-08-18
Danon disease	https://medlineplus.gov/genetics/condition/danon-disease	2015-03	2021-11-26
Darier disease	https://medlineplus.gov/genetics/condition/darier-disease	2008-03	2021-04-07
Deafness and myopia syndrome	https://medlineplus.gov/genetics/condition/deafness-and-myopia-syndrome	2015-11	2023-03-21
Deafness-dystonia-optic neuronopathy syndrome	https://medlineplus.gov/genetics/condition/deafness-dystonia-optic-neuronopathy-syndrome	2018-08	2020-08-18
Dementia with Lewy bodies	https://medlineplus.gov/genetics/condition/dementia-with-lewy-bodies	2021-11	2023-07-18
Dent disease	https://medlineplus.gov/genetics/condition/dent-disease	2012-09	2020-08-18
Dentatorubral-pallidoluysian atrophy	https://medlineplus.gov/genetics/condition/dentatorubral-pallidoluysian-atrophy	2008-11	2020-08-18
Dentinogenesis imperfecta	https://medlineplus.gov/genetics/condition/dentinogenesis-imperfecta	2017-06	2023-03-21
Denys-Drash syndrome	https://medlineplus.gov/genetics/condition/denys-drash-syndrome	2013-03	2023-10-27
Deoxyguanosine kinase deficiency	https://medlineplus.gov/genetics/condition/deoxyguanosine-kinase-deficiency	2009-12	2023-08-22
Depression	https://medlineplus.gov/genetics/condition/depression	2018-04	2023-08-18
Dermatofibrosarcoma protuberans	https://medlineplus.gov/genetics/condition/dermatofibrosarcoma-protuberans	2011-09	2020-09-08
Desmoid tumor	https://medlineplus.gov/genetics/condition/desmoid-tumor	2013-03	2023-03-21
Desmosterolosis	https://medlineplus.gov/genetics/condition/desmosterolosis	2014-08	2020-08-18
Developmental and epileptic encephalopathy 1	https://medlineplus.gov/genetics/condition/developmental-and-epileptic-encephalopathy-1	2020-11	2020-11-13
Diamond-Blackfan anemia	https://medlineplus.gov/genetics/condition/diamond-blackfan-anemia	2018-09	2020-08-18
Diastrophic dysplasia	https://medlineplus.gov/genetics/condition/diastrophic-dysplasia	2020-06	2020-08-18
Dihydrolipoamide dehydrogenase deficiency	https://medlineplus.gov/genetics/condition/dihydrolipoamide-dehydrogenase-deficiency	2014-09	2023-07-26
Dihydropyrimidinase deficiency	https://medlineplus.gov/genetics/condition/dihydropyrimidinase-deficiency	2014-09	2020-08-18
Dihydropyrimidine dehydrogenase deficiency	https://medlineplus.gov/genetics/condition/dihydropyrimidine-dehydrogenase-deficiency	2015-09	2020-08-18
Dilated cardiomyopathy with ataxia syndrome	https://medlineplus.gov/genetics/condition/dilated-cardiomyopathy-with-ataxia-syndrome	2014-07	2020-08-18
Distal 18q deletion syndrome	https://medlineplus.gov/genetics/condition/distal-18q-deletion-syndrome	2018-11	2021-04-07
Distal arthrogryposis type 1	https://medlineplus.gov/genetics/condition/distal-arthrogryposis-type-1	2017-10	2020-08-18
Distal hereditary motor neuropathy, type II	https://medlineplus.gov/genetics/condition/distal-hereditary-motor-neuropathy-type-ii	2009-08	2020-08-18
Distal hereditary motor neuropathy, type V	https://medlineplus.gov/genetics/condition/distal-hereditary-motor-neuropathy-type-v	2009-08	2023-08-17
Distal myopathy 2	https://medlineplus.gov/genetics/condition/distal-myopathy-2	2011-11	2020-08-18
Donnai-Barrow syndrome	https://medlineplus.gov/genetics/condition/donnai-barrow-syndrome	2013-04	2020-08-18
Donohue syndrome	https://medlineplus.gov/genetics/condition/donohue-syndrome	2014-12	2023-07-19
Dopa-responsive dystonia	https://medlineplus.gov/genetics/condition/dopa-responsive-dystonia	2012-05	2023-08-23
Dopamine beta-hydroxylase deficiency	https://medlineplus.gov/genetics/condition/dopamine-beta-hydroxylase-deficiency	2008-09	2023-07-26
Dopamine transporter deficiency syndrome	https://medlineplus.gov/genetics/condition/dopamine-transporter-deficiency-syndrome	2015-10	2023-08-22
Dowling-Degos disease	https://medlineplus.gov/genetics/condition/dowling-degos-disease	2017-08	2020-08-18
Down syndrome	https://medlineplus.gov/genetics/condition/down-syndrome	2020-06	2023-07-18
Duane-radial ray syndrome	https://medlineplus.gov/genetics/condition/duane-radial-ray-syndrome	2009-12	2020-08-18
Dubin-Johnson syndrome	https://medlineplus.gov/genetics/condition/dubin-johnson-syndrome	2018-08	2020-08-18
Duchenne and Becker muscular dystrophy	https://medlineplus.gov/genetics/condition/duchenne-and-becker-muscular-dystrophy	2016-11	2023-03-21
Dupuytren contracture	https://medlineplus.gov/genetics/condition/dupuytren-contracture	2019-04	2020-08-18
Dyserythropoietic anemia and thrombocytopenia	https://medlineplus.gov/genetics/condition/dyserythropoietic-anemia-and-thrombocytopenia	2014-10	2023-03-21
Dyskeratosis congenita	https://medlineplus.gov/genetics/condition/dyskeratosis-congenita	2014-03	2020-08-18
Dystonia 16	https://medlineplus.gov/genetics/condition/dystonia-16	2019-06	2020-08-18
Dystonia 6	https://medlineplus.gov/genetics/condition/dystonia-6	2013-11	2020-08-18
Dystrophic epidermolysis bullosa	https://medlineplus.gov/genetics/condition/dystrophic-epidermolysis-bullosa	2020-02	2020-08-18
Early-onset glaucoma	https://medlineplus.gov/genetics/condition/early-onset-glaucoma	2022-04	2022-04-04
Early-onset isolated dystonia	https://medlineplus.gov/genetics/condition/early-onset-isolated-dystonia	2022-04	2022-04-22
Early-onset myopathy with fatal cardiomyopathy	https://medlineplus.gov/genetics/condition/early-onset-myopathy-with-fatal-cardiomyopathy	2016-12	2023-01-13
Ehlers-Danlos syndrome	https://medlineplus.gov/genetics/condition/ehlers-danlos-syndrome	2020-08	2023-08-22
Ellis-van Creveld syndrome	https://medlineplus.gov/genetics/condition/ellis-van-creveld-syndrome	2012-12	2023-03-27
Emanuel syndrome	https://medlineplus.gov/genetics/condition/emanuel-syndrome	2017-01	2020-09-08
Emery-Dreifuss muscular dystrophy	https://medlineplus.gov/genetics/condition/emery-dreifuss-muscular-dystrophy	2017-06	2020-08-18
Encephalocraniocutaneous lipomatosis	https://medlineplus.gov/genetics/condition/encephalocraniocutaneous-lipomatosis	2016-11	2020-08-18
Enlarged parietal foramina	https://medlineplus.gov/genetics/condition/enlarged-parietal-foramina	2016-03	2020-08-18
Eosinophil peroxidase deficiency	https://medlineplus.gov/genetics/condition/eosinophil-peroxidase-deficiency	2014-12	2020-08-18
Epidermal nevus	https://medlineplus.gov/genetics/condition/epidermal-nevus	2016-08	2020-08-18
Epidermolysis bullosa simplex	https://medlineplus.gov/genetics/condition/epidermolysis-bullosa-simplex	2013-05	2023-08-22
Epidermolysis bullosa with pyloric atresia	https://medlineplus.gov/genetics/condition/epidermolysis-bullosa-with-pyloric-atresia	2018-02	2023-08-18
Epidermolytic hyperkeratosis	https://medlineplus.gov/genetics/condition/epidermolytic-hyperkeratosis	2011-11	2020-08-18
Epilepsy-aphasia spectrum	https://medlineplus.gov/genetics/condition/epilepsy-aphasia-spectrum	2016-11	2022-09-14
Episodic ataxia	https://medlineplus.gov/genetics/condition/episodic-ataxia	2008-08	2023-05-03
Erdheim-Chester disease	https://medlineplus.gov/genetics/condition/erdheim-chester-disease	2017-04	2023-03-21
Erythrokeratodermia variabilis et progressiva	https://medlineplus.gov/genetics/condition/erythrokeratodermia-variabilis-et-progressiva	2018-10	2023-03-27
Erythromelalgia	https://medlineplus.gov/genetics/condition/erythromelalgia	2016-02	2020-08-18
Esophageal atresia/tracheoesophageal fistula	https://medlineplus.gov/genetics/condition/esophageal-atresia-tracheoesophageal-fistula	2015-09	2023-03-21
Essential pentosuria	https://medlineplus.gov/genetics/condition/essential-pentosuria	2015-01	2020-08-18
Essential thrombocythemia	https://medlineplus.gov/genetics/condition/essential-thrombocythemia	2014-09	2020-08-18
Essential tremor	https://medlineplus.gov/genetics/condition/essential-tremor	2013-06	2023-07-17
Ethylmalonic encephalopathy	https://medlineplus.gov/genetics/condition/ethylmalonic-encephalopathy	2017-08	2020-08-18
Ewing sarcoma	https://medlineplus.gov/genetics/condition/ewing-sarcoma	2016-06	2020-09-08
FBXL4-related encephalomyopathic mitochondrial DNA depletion syndrome	https://medlineplus.gov/genetics/condition/fbxl4-related-encephalomyopathic-mitochondrial-dna-depletion-syndrome	2017-05	2020-08-18
FG syndrome	https://medlineplus.gov/genetics/condition/fg-syndrome	2012-12	2020-08-18
FOXG1 syndrome	https://medlineplus.gov/genetics/condition/foxg1-syndrome	2016-07	2023-03-28
FOXP2-related speech and language disorder	https://medlineplus.gov/genetics/condition/foxp2-related-speech-and-language-disorder	2019-02	2023-03-28
Fabry disease	https://medlineplus.gov/genetics/condition/fabry-disease	2022-05	2022-07-29
Facioscapulohumeral muscular dystrophy	https://medlineplus.gov/genetics/condition/facioscapulohumeral-muscular-dystrophy	2014-08	2023-08-22
Factor V Leiden thrombophilia	https://medlineplus.gov/genetics/condition/factor-v-leiden-thrombophilia	2010-08	2023-08-10
Factor V deficiency	https://medlineplus.gov/genetics/condition/factor-v-deficiency	2013-05	2020-08-18
Factor VII deficiency	https://medlineplus.gov/genetics/condition/factor-vii-deficiency	2016-10	2020-08-18
Factor X deficiency	https://medlineplus.gov/genetics/condition/factor-x-deficiency	2015-01	2020-08-18
Factor XI deficiency	https://medlineplus.gov/genetics/condition/factor-xi-deficiency	2018-08	2020-08-18
Factor XIII deficiency	https://medlineplus.gov/genetics/condition/factor-xiii-deficiency	2019-01	2020-08-18
Familial HDL deficiency	https://medlineplus.gov/genetics/condition/familial-hdl-deficiency	2012-11	2023-03-21
Familial Mediterranean fever	https://medlineplus.gov/genetics/condition/familial-mediterranean-fever	2021-08	2021-08-11
Familial acute myeloid leukemia with mutated CEBPA	https://medlineplus.gov/genetics/condition/familial-acute-myeloid-leukemia-with-mutated-cebpa	2015-07	2020-08-18
Familial adenomatous polyposis	https://medlineplus.gov/genetics/condition/familial-adenomatous-polyposis	2013-10	2023-08-21
Familial atrial fibrillation	https://medlineplus.gov/genetics/condition/familial-atrial-fibrillation	2017-10	2020-08-18
Familial candidiasis	https://medlineplus.gov/genetics/condition/familial-candidiasis	2016-09	2020-08-18
Familial cold autoinflammatory syndrome type 2	https://medlineplus.gov/genetics/condition/familial-cold-autoinflammatory-syndrome-type-2	2021-08	2022-02-22
Familial dilated cardiomyopathy	https://medlineplus.gov/genetics/condition/familial-dilated-cardiomyopathy	2017-04	2020-08-18
Familial dysautonomia	https://medlineplus.gov/genetics/condition/familial-dysautonomia	2013-08	2021-04-19
Familial encephalopathy with neuroserpin inclusion bodies	https://medlineplus.gov/genetics/condition/familial-encephalopathy-with-neuroserpin-inclusion-bodies	2009-04	2020-08-18
Familial erythrocytosis	https://medlineplus.gov/genetics/condition/familial-erythrocytosis	2012-08	2020-08-18
Familial exudative vitreoretinopathy	https://medlineplus.gov/genetics/condition/familial-exudative-vitreoretinopathy	2009-02	2020-08-18
Familial focal epilepsy with variable foci	https://medlineplus.gov/genetics/condition/familial-focal-epilepsy-with-variable-foci	2017-03	2020-08-18
Familial glucocorticoid deficiency	https://medlineplus.gov/genetics/condition/familial-glucocorticoid-deficiency	2015-02	2023-07-19
Familial hemiplegic migraine	https://medlineplus.gov/genetics/condition/familial-hemiplegic-migraine	2014-01	2023-03-21
Familial hemophagocytic lymphohistiocytosis	https://medlineplus.gov/genetics/condition/familial-hemophagocytic-lymphohistiocytosis	2014-11	2020-08-18
Familial hyperaldosteronism	https://medlineplus.gov/genetics/condition/familial-hyperaldosteronism	2014-04	2023-08-21
Familial hypercholesterolemia	https://medlineplus.gov/genetics/condition/familial-hypercholesterolemia	2020-01	2022-05-16
